01nperson/ 02nline,Section,Score
01,4,91.2
01,3,75.7
01,4,91.2
01,1,78.8
01,3,63.46666667
01,3,85.23333333
01,4,95.83333333
01,4,83.8
01,3,82.36666667
01,4,89.53333333
01,1,91.8
01,1,99.16666667
01,3,80.6
01,5,90.36666667
01,4,88.7
01,4,80.46666667
01,4,83.1
01,5,72.73333333
01,5,77.36666667
01,4,88.7
01,4,75.96666667
01,5,81.2
01,4,96.8
01,4,100
01,1,87.96666667
01,3,82.03333333
01,1,99.16666667
01,1,64.53333333
01,5,87.96666667
01,5,95.96666667
01,3,95.13333333
01,4,99.16666667
01,3,62.13333333
01,4,90.36666667
01,1,86.9
01,5,95
01,4,81.2
01,3,90.23333333
01,4,64.16666667
01,3,94.3
01,3,88.8
01,4,70.7
01,3,94.4
01,5,77.36666667
01,3,96.8
01,5,75.96666667
01,5,75.6
02,3,40.3
02,3,62
02,1,67.05
02,4,70.15
02,3,72.1
02,1,75.2
02,1,75.2
02,4,78.3
02,5,78.3
02,5,79.45
02,1,79.45
02,4,79.45
02,1,79.45
02,3,81.4
02,3,81.4
02,4,82.55
02,4,82.55
02,1,84.5
02,4,84.5
02,5,85.65
02,5,87.6
02,3,87.6
02,5,90.7
02,4,90.7
02,4,93.8
02,5,93.8
02,3,93.8
02,4,96.9
02,3,96.9
02,4,100
